timestep,wound_area_pct,margin_cells,wound_edges,cum_T1,cum_seals,cum_divisions
544,21.7344100491144,14,18,40,0,11
545,21.9933920765502,14,18,40,0,11
546,22.0668881963808,14,18,40,0,11
547,22.1506496498717,14,18,40,0,11
548,22.1218563175061,14,18,40,0,11
549,22.0784352334912,14,18,40,0,11
550,22.0867834287254,14,18,41,0,11
551,21.078348213888,14,18,41,0,11
552,21.959880973109,15,19,41,0,12
553,20.0505220176833,15,19,41,0,12
554,20.3151274997103,15,19,41,0,12
555,19.223764244937,15,19,41,0,12
556,19.9987285366304,15,19,41,0,12
557,18.5836250441946,15,19,42,0,12
558,20.0117189702434,15,19,42,0,12
559,18.319200428087,15,19,43,0,12
560,19.5216753460955,15,19,43,0,12
561,17.7845326115245,15,19,44,0,12
562,19.7555432156241,15,19,44,0,12
563,18.0704708881744,15,19,44,0,12
564,19.3234087037819,15,19,44,0,12
565,17.5583887597785,15,19,44,0,12
566,18.8665324052297,15,19,44,0,12
567,17.0264455248537,15,19,44,0,12
568,18.2988995104552,15,19,44,0,12
569,17.1193510475087,15,19,44,0,12
570,17.093254773534,15,19,44,0,12
571,16.9645777721162,15,19,44,0,12
572,16.2215828387423,15,19,44,0,12
573,16.4344073868065,15,19,45,0,12
574,16.1824748515336,15,19,45,0,12
575,16.028491114573,15,19,45,0,12
576,15.4572126436873,15,19,45,0,12
577,15.1749308912854,15,19,45,0,12
578,15.1863205886593,15,19,45,0,12
579,14.9829295420521,15,19,45,0,12
580,14.4643842709594,15,19,45,0,12
581,14.5032632635451,15,19,45,0,12
582,14.1259168816424,15,19,45,0,12
583,14.1476414380262,15,19,45,0,12
584,13.5491848263321,15,19,45,0,12
585,13.6098156640512,15,19,45,0,12
586,13.1305806958984,15,19,45,0,12
587,13.2204997401877,15,19,45,0,12
588,12.7201600582251,15,19,45,0,12
589,12.6403660306116,15,19,45,0,12
590,12.3465063720122,15,19,45,0,12
591,12.2919700232313,15,19,45,0,12
592,11.8927903893119,15,19,45,0,12
593,11.9597407696813,15,19,45,0,12
594,11.4248254121963,15,19,45,0,12
595,11.5987880013269,15,19,45,0,12
596,11.0750584925085,15,19,45,0,12
597,11.1196476141761,15,19,45,0,12
598,10.7605514858929,15,19,45,0,12
599,10.6981534393391,15,19,45,0,12
600,10.3807502037606,15,19,45,0,12
601,10.3139934302668,15,19,45,0,12
602,9.88847260562887,15,19,45,0,12
603,9.93711715493767,15,19,45,0,12
604,9.47516063730737,15,19,45,0,13
605,9.5316134048248,15,19,45,0,13
606,9.02503482235334,15,19,45,0,13
607,8.99096511911447,15,19,46,0,13
608,8.53552505608272,15,19,46,0,13
609,8.55704070991344,15,19,47,0,13
610,8.0725960240039,15,19,47,0,13
611,8.10702323560209,15,19,47,0,14
612,7.41171147132455,15,19,47,0,14
613,6.33803786676121,15,19,47,0,14
614,5.43628293650786,15,19,47,0,14
615,5.37623106826435,15,19,47,0,14
616,4.87061891285421,15,19,47,0,14
617,4.87241096652037,15,19,47,0,14
618,4.40023247630414,15,19,47,0,14
619,4.41939495873496,15,19,47,0,14
620,3.96588769528274,15,19,47,0,14
621,3.99284125215829,15,19,47,0,14
622,3.55428652249375,15,19,47,0,14
623,3.57187053305056,15,19,47,0,14
624,3.15170978205243,15,19,47,0,14
625,3.18513632981594,15,19,47,0,14
626,2.78237179221564,15,19,47,0,14
627,2.83377629057685,15,19,47,0,14
628,2.41312862990406,15,19,47,0,14
629,2.53143008203367,15,19,47,0,14
630,2.08635103317296,15,19,47,0,14
631,2.16414021615205,15,19,47,0,14
632,1.72595560166859,15,19,47,0,14
633,1.79406591311961,15,19,47,0,14
634,0,15,22,47,0,15
635,0.280267105627222,15,22,47,0,15
636,0,15,22,47,0,15
637,0,15,22,47,0,15
638,0,15,22,47,0,15
639,0,15,22,47,0,15
640,0,15,22,47,0,15
641,0,15,22,47,0,15
642,0,15,22,47,0,15
643,0,15,22,47,0,15
644,0,15,22,47,0,15
645,0,15,22,47,0,15
646,0,15,22,47,0,15
647,0,15,22,47,0,15
648,0,15,22,47,0,15
649,0.0870990249943658,15,22,47,0,15
650,0,15,22,47,0,15
651,0.369863077553003,15,22,47,0,15
652,0.0534278265601591,15,22,48,0,15
653,0.571036196026217,15,22,48,0,15
654,0.253497653515669,15,22,48,0,15
655,0.7697464937953,15,22,48,0,15
656,0,15,22,48,0,15
657,1.06431337424252,15,22,48,0,15
658,0.2644090691469,15,22,48,0,15
659,1.15172461656883,15,22,48,0,15
660,0.287122844467147,15,22,48,0,15
661,1.31276899980895,15,22,48,0,15
662,0.536341126249591,15,22,48,0,15
663,1.22960984515052,15,22,48,0,15
664,0.584798107372981,15,22,48,0,15
665,0.659049367303242,15,22,49,0,15
666,0.731172305328648,15,22,49,0,15
667,0.823945968232996,15,22,49,0,15
668,0.46432586187624,15,22,49,0,15
669,0.738499287442355,15,22,50,0,15
670,0.453397967917124,15,22,50,0,15
671,0.574541756126824,15,22,50,0,15
672,0,15,22,50,0,15
673,0.669028389892486,15,22,51,0,15
674,0,15,22,51,0,15
675,0.320050026618181,15,22,51,0,15
676,0.131560331560948,15,22,51,0,15
677,0,15,22,51,0,15
678,0,15,22,51,0,15
679,0.286775620816769,15,22,52,0,15
680,0,15,22,52,0,15
681,0,15,22,52,0,16
682,0,15,22,52,0,16
683,0,15,22,52,0,16
684,0,15,22,52,0,16
685,0,15,22,53,0,16
686,0,15,22,53,0,16
687,0,15,22,53,0,16
688,0,15,22,53,0,16
689,0,15,22,53,0,16
690,0,15,22,53,0,16
691,0,15,22,53,0,16
692,0,15,22,53,0,16
693,0,15,22,53,0,16
694,0,15,22,53,0,16
695,0,15,22,53,0,16
696,0,15,22,53,0,16
697,0,15,22,53,0,16
698,0,15,22,53,0,16
699,0,15,22,53,0,16
700,0,15,22,53,0,16
701,0,15,22,53,0,16
702,0,15,22,53,0,16
703,0,15,20,53,1,16
704,0,15,20,53,1,16
705,0,15,20,53,1,16
706,0,15,20,53,1,16
